state,year,sid,cdl,caselaw,anywhere,assumption,civil,homicide_c,robbery_gun_r,jhcitizen_c,jhpolice_c,homicide,robbery,assault,burglary,larceny,motor,murder,hc_felonywsus,jhcitizen,jhpolice,population,police,unemployrt,income,blackm_15_24,whitem_15_24,blackm_25_44,whitem_25_44,prisoner,poverty,northeast,midwest,south,west,effyear,treatment_date,post,time_til,f2001,f2002,f2003,f2004,f2005,f2006,f2007,f2008,f2009,f2010,castle,lhomicide,castle_sum,d2005,d2006,d2007,d2008,d2009,d2010,dinf
New Jersey,2000,31,0,0,0,0,0,289,.33483362,1,6,3.5160165,164.88779,208.02895,534.38586,1892.5902,415.48608,3.5160165,.46231359,.024332294,.085163027,8219529,464.8319873316342,3.7,63818,.036267284,.59614122,.068020932,1.3406973,362.35654,7.879940565937538,1,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,1.2573286,0,0,0,0,0,0,0,1
Mississippi,2000,25,0,1,0,0,0,255,.48131704,0,0,9.2752771,98.31794,228.79018,979.10553,2537.3521,253.45149,6.2198915,1.1275827,.036373638,.036373638,2749244,277.0943575761191,5.5999999,43426,1.8166813,11.687977,3.1869125,24.540274,736.23877,17.81489747727012,0,0,1,0,2006,2006,0,-6,0,0,0,0,0,0,0,0,0,0,0,2.2273524,5,0,1,0,0,0,0,0
Wyoming,2000,51,0,0,0,0,0,12,.41428572,0,0,2.5015688,14.592484,223.8904,433.18832,2567.8604,119.44991,2.5015688,.41692811,.20846406,.20846406,479699,376.9030162664504,3.8,50175,.10881824,7.0644298,.14467406,12.877033,350.2196,10.49762455206286,0,0,0,1,,,0,,0,0,0,0,0,0,0,0,0,0,0,.91691804,0,0,0,0,0,0,0,1
Louisiana,2000,19,0,0,0,0,0,560,.57076472,8,6,12.924038,173.82831,481.21271,1068.2871,3331.2864,490.88266,12.370151,1.9386058,.20770776,.16155048,4333011,478.9740898419137,4.9000001,38892,.019316822,1.7785554,.029632973,4.0265994,812.52966,17.38407772331988,0,0,1,0,2006,2006,0,-6,0,0,0,0,0,0,0,0,0,0,0,2.5590889,5,0,1,0,0,0,0,0
Maryland,2000,21,0,0,0,0,0,430,.45995575,4,16,8.3294106,262.66699,506.15698,763.71008,2816.9485,553.47968,8.4843769,1.1041312,.096853614,.32930228,5162430,362.3099974236939,3.5999999,69047,.54666114,6.0534477,1.0607796,15.387211,455.94806,8.058317497767524,0,0,1,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,2.1197927,0,0,0,0,0,0,0,1
North Carolina,2000,34,0,0,0,0,0,560,.49424374,8,5,7.1836944,161.56898,317.04465,1255.7097,2985.9409,324.11288,7.0169301,.73119748,.11545223,.076968156,7795432,346.3310307882873,3.7,48514,.0091720382,.6284706,.010493325,1.0400321,404.49329,11.98617344106138,0,0,1,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,1.9718138,0,0,0,0,0,0,0,1
Illinois,2000,14,0,0,0,0,0,898,,3,10,7.4230137,211.95267,419.35068,676.58539,2588.6396,415.5152,5.5548611,.79355162,.033064649,.090927787,12097512,413.1923985692265,4.5,58322,.34592238,3.0660355,.59637058,6.3135214,374.30011,10.14990520364849,0,1,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,2.004585,0,0,0,0,0,0,0,1
Missouri,2000,26,0,0,0,0,0,347,.44156358,3,9,6.3867149,139.84514,333.56323,767.23407,2936.3982,454.52429,6.1106324,.97549248,.073622078,.18405519,5433153,294.838006586599,3.3,57098,.0071965577,1.0742565,.0097733308,2.0146313,503.97992,10.69741639891238,0,1,0,0,2007,2007,0,-7,0,0,0,0,0,0,0,0,0,0,0,1.85422,4,0,0,1,0,0,0,0
Maine,2000,20,0,0,0,0,0,15,.18623482,0,0,1.2096667,19.919178,65.72522,546.36615,1927.8861,106.61195,1.2096667,.24193333,.080644444,.080644444,1240011,232.3366486265041,3.3,47183,8.4043608,15.418896,17.970566,39.550777,135.40202,10.05853980327594,1,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,.19034488,0,0,0,0,0,0,0,1
Alabama,2000,1,0,0,0,0,0,329,.21080323,1,0,7.5939784,131.61357,325.6178,930.92017,2940.6238,295.65735,6.5322065,.48472202,.046164002,.023082001,4332380,348.8382828837729,4.0999999,44851,2.2222428,4.6948099,3.4716945,10.414437,605.3255,14.7059814697695,0,0,1,0,2006,2006,0,-6,0,0,0,0,0,0,0,0,0,0,0,2.0273557,5,0,1,0,0,0,0,0
Ohio,2000,36,0,0,0,0,0,418,.30224216,0,5,3.78143,141.21561,159.54378,801.84412,2653.1255,353.04807,3.274827,.45232418,.0090464838,.054278899,11054019,298.0092579902387,4,54395,.22173835,1.6225592,.352451,3.2313948,414.62747,9.846020709752715,0,1,0,0,2008,2008,0,-8,0,0,0,0,0,0,0,0,0,0,0,1.3301022,3,0,0,0,1,0,0,0
West Virginia,2000,49,0,1,0,0,0,46,.2977303,1,4,2.6059415,42.431526,260.42419,560.2774,1594.0997,187.79773,3.3424032,.50985813,.1133018,.2832545,1765197,229.3228461185919,5.5,37238,.31860468,6.5920687,.48589477,13.184081,218.44588,15.52155368494281,0,0,1,0,2008,2008,0,-8,0,0,0,0,0,0,0,0,0,0,0,.95779407,3,0,0,0,1,0,0,0
New York,2000,33,0,0,0,0,0,952,.20809591,14,13,5.1750393,220.36861,326.64716,478.07141,1853.1261,294.79785,4.9521646,.81539482,.081539482,.076103516,18395996,470.3632246930256,4.5,51587,.73295295,1.9836001,1.3600134,4.7272191,381.5939,13.4089178971337,1,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,1.643847,0,0,0,0,0,0,0,1
Alaska,2000,2,0,0,0,0,0,27,.36530611,0,2,4.4438372,80.647415,418.04987,641.72302,2771.3086,386.77844,3.9500775,.82293284,.16458657,.49375969,607583,293.9516082576372,6.1999998,66910,.33065441,4.9629436,.68336344,12.253634,686.81976,8.631248734740767,0,0,0,1,2006,2005,0,-5,0,0,0,0,0,0,0,0,0,0,0,1.4915183,5,0,1,0,0,0,0,0
North Dakota,2000,35,0,0,0,0,0,4,.4642857,0,0,.64665383,9.053153,47.529057,338.3616,1793.171,159.40016,.48499036,.16166346,.16166346,.16166346,618569,240.070226603661,2.9000001,45575,15.899601,103.49371,29.083094,223.81044,173.94987,10.4772466774119,0,1,0,0,2007,2007,0,-7,0,0,0,0,0,0,0,0,0,0,0,-.43594417,4,0,0,1,0,0,0,0
Georgia,2000,11,0,1,0,0,0,651,.51524526,9,7,8.1859703,166.61153,320.01987,861.19928,3023.4019,486.65656,7.5320983,1.4963602,.12574455,.10059564,7952631,369.7266979946637,3.5,53051,.035195898,.25879484,.074805431,.64100796,556.1933,12.65403864456933,0,0,1,0,2006,2006,0,-6,0,0,0,0,0,0,0,0,0,0,0,2.1024218,5,0,1,0,0,0,0,0
Hawaii,2000,12,0,0,0,0,0,35,.12021371,0,1,2.9768107,95.513092,123.32501,907.07672,3678.8276,520.00629,2.9768107,.25515521,.08505173,.17010346,1175755,307.7171689680248,4,65263,.055708885,7.6047306,.093216702,13.562349,429.76642,10.06646792911789,0,0,0,1,,,0,,0,0,0,0,0,0,0,0,0,0,0,1.0908525,0,0,0,0,0,0,0,1
New Mexico,2000,32,0,0,0,0,0,135,.38455382,2,3,7.5726171,140.17755,573.83612,1196.9784,3249.2136,411.7821,6.6751218,.61702806,.16828038,.22437385,1782739,305.3167064836748,5,44432,12.147544,39.915321,22.997086,96.790329,299.65128,17.33865697670831,0,0,0,1,,,0,,0,0,0,0,0,0,0,0,0,0,0,2.0245388,0,0,0,0,0,0,0,1
Nevada,2000,29,0,0,0,0,0,129,.40435836,3,2,6.5662823,231.24512,251.55478,892.09814,2246.0249,670.47339,6.5662823,1.0689297,.20360565,.15270424,1964582,363.3851882995976,4.5,57935,.044131525,3.747973,.094829336,9.0881414,512.22095,9.914933558385448,0,0,0,1,,,0,,0,0,0,0,0,0,0,0,0,0,0,1.8819478,0,0,0,0,0,0,0,1
Rhode Island,2000,40,0,0,0,0,0,45,.23861171,0,0,4.4576392,91.332069,172.56017,655.76825,2183.0544,462.10858,4.4576392,1.386821,.099058643,.099058643,1009503,308.5676813243745,4.1999998,53426,9.5631218,17.548635,15.706442,38.779972,325.50671,10.53766061121165,1,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,1.4946193,0,0,0,0,0,0,0,1
Minnesota,2000,24,0,0,0,0,0,151,.075141393,1,1,3.156621,77.619431,161.15491,545.9491,2471.9897,280.79294,3.0730021,.60623848,.041809551,.041809551,4783596,250.0420185985606,3.0999999,68688,1.9743724,2.5698867,2.7464485,5.1330004,130.40399,7.036421972089617,0,1,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,1.1495022,0,0,0,0,0,0,0,1
Massachusetts,2000,22,0,0,0,0,0,125,.22734308,0,1,2.0398569,94.894142,368.70819,499.35696,1720.4153,422.26669,1.9909003,.22846396,.016318854,.032637708,6127881,323.1296430201565,2.8,59195,1.7168578,8.587781,3.2276411,18.954121,174.97076,8.639479128266361,1,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,.71287966,0,0,0,0,0,0,0,1
Montana,2000,27,0,1,0,0,0,20,.23152709,1,0,2.2793763,23.13567,259.39304,413.02298,3040.46,216.08487,1.3676258,.11396882,.22793764,.11396882,877433,277.5140666010966,4.8000002,41499,.70683461,12.456564,1.155074,23.960119,353.87317,13.41150834308716,0,0,0,1,2009,2009,0,-9,0,0,0,0,0,0,0,0,0,0,0,.82390183,2,0,0,0,0,1,0,0
Pennsylvania,2000,39,0,0,0,0,0,602,.39074636,14,11,5.0811324,153.23581,249.6676,456.45786,1906.429,306.59824,4.870122,1.0803736,.12660629,.10128503,11847753,226.3213961330896,4.1999998,53400,.038403906,.47389576,.061235242,1.0487474,311.00412,9.587708319037374,1,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,1.6255342,0,0,0,0,0,0,0,1
Oklahoma,2000,37,0,1,0,0,0,182,.3957935,3,12,5.451911,78.333778,388.16409,948.42285,2879.208,369.8912,5.4219556,1.0184889,.11982222,.38942221,3338279,310.7289714250966,3.0999999,41063,.14417608,5.6077995,.30015466,12.223813,694.39972,13.99167055839251,0,0,1,0,2006,2006,0,-6,0,0,0,0,0,0,0,0,0,0,0,1.6959662,5,0,1,0,0,0,0,0
New Hampshire,2000,30,0,0,0,0,0,22,.11037528,0,0,1.8329561,37.742233,97.479935,415.9144,1729.7273,178.96317,1.1664265,.16663237,.083316185,.083316185,1200247,206.20755561147,2.7,64478,6.8105149,24.377649,13.980622,68.223961,188.04463,5.820218671656751,1,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,.60593003,0,0,0,0,0,0,0,1
Idaho,2000,13,0,0,0,0,0,16,.2825112,0,1,1.2673699,17.663967,209.43288,580.61383,2261.0671,165.23335,1.2673699,.15842123,.079210617,.15842123,1262457,261.1574097177171,4.5999999,47620,11.550888,42.896828,20.203936,100.01656,438.43079,11.48894576211308,0,0,0,1,,,0,,0,0,0,0,0,0,0,0,0,0,0,.23694378,0,0,0,0,0,0,0,1
South Carolina,2000,41,0,0,0,0,0,291,.48376206,0,1,7.5058517,160.43436,646.22546,1039.9603,3234.0935,402.01447,7.4026785,1.934498,.025793305,.051586609,3876975,316.8965495005771,3.5999999,47568,.017694207,1.3032326,.033402331,2.3638532,561.72662,13.02461326162794,0,0,1,0,2006,2006,0,-6,0,0,0,0,0,0,0,0,0,0,0,2.0156829,5,0,1,0,0,0,0,0
Texas,2000,44,0,0,0,0,0,1238,.43599829,18,27,6.1013141,149.11749,366.18726,931.33752,3141.9402,459.13129,6.0914574,1.0497414,.093638904,.13799419,20290711,362.3579282165124,4.4000001,48883,.0089597646,.91391575,.017525261,1.311137,821.65186,14.98772024302155,0,0,1,0,2007,2007,0,-7,0,0,0,0,0,0,0,0,0,0,0,1.8085042,4,0,0,1,0,0,0,0
Michigan,2000,23,0,0,0,0,0,669,.46477538,15,16,6.9050546,141.52782,369.02304,720.33447,2351.0522,575.15283,6.8637686,.68121612,.16514331,.17546476,9688555,292.9229384567668,3.7,57623,.16456531,3.1056025,.33120522,6.7884221,492.51926,9.820195065208383,0,1,0,0,2006,2006,0,-6,0,0,0,0,0,0,0,0,0,0,0,1.9322537,5,0,1,0,0,0,0,0
Kansas,2000,17,0,1,0,0,0,169,.19042969,0,1,6.48387,78.573761,277.42523,824.2572,3072.2419,249.22615,3.683145,.19183047,.038366094,.076732188,2606468,372.1511255845074,3.8,51985,.99621403,9.6955729,1.7102071,20.418896,320.12671,9.019370274256197,0,1,0,0,2006,2006,0,-6,0,0,0,0,0,0,0,0,0,0,0,1.8693175,5,0,1,0,0,0,0,0
Wisconsin,2000,50,0,0,0,0,0,169,.55455148,4,1,3.2451839,87.120712,131.13232,483.57083,2296.6877,281.04446,3.1491725,.88330454,.096011363,.038404543,5207717,323.2510522365175,3.4000001,57087,.50375241,6.2465568,.82229888,13.306829,395.79724,8.269592990556131,0,1,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,1.1771721,0,0,0,0,0,0,0,1
Washington,2000,48,0,0,0,0,0,196,.2512044,4,4,3.404114,100.9424,226.52989,928.76733,3311.1956,608.19012,3.3520103,.81629264,.086839646,.086839646,5757739,237.4195843194698,5,53841,.37327152,.23132344,.7916128,.58083564,259.04266,9.85760208998706,0,0,0,1,,,0,,0,0,0,0,0,0,0,0,0,0,0,1.2249846,0,0,0,0,0,0,0,1
Oregon,2000,38,0,0,0,0,0,70,.27181441,0,1,2.093359,86.366013,231.94418,766.10962,3416.063,416.63824,2.0335488,.089715384,.029905129,.059810258,3343908,230.3891135760912,5.0999999,53809,2.7448123,19.385941,5.0559406,43.240574,316.39627,10.80412499386945,0,0,0,1,,,0,,0,0,0,0,0,0,0,0,0,0,0,.73876995,0,0,0,0,0,0,0,1
Utah,2000,45,0,0,0,0,0,43,.27697262,1,0,1.9610624,56.64278,162.49454,654.35638,3349.2209,294.66104,2.3715174,.31924272,.091212206,.045606103,2192689,309.8934687044082,3.3,60204,.019473806,1.8613219,.023988809,3.791281,256.85358,9.049801408225242,0,0,0,1,,,0,,0,0,0,0,0,0,0,0,0,0,0,.67348641,0,0,0,0,0,0,0,1
Iowa,2000,16,0,0,0,0,0,46,.26704016,0,1,1.6299601,37.949722,212.70979,579.06104,2307.3857,190.42186,1.8071296,.14173566,.035433915,.070867829,2822155,263.7346283248085,2.8,51899,.50401199,5.745893,.85689837,11.112146,281.8768,8.422074620281309,0,1,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,.48855552,0,0,0,0,0,0,0,1
Nebraska,2000,28,0,0,0,0,0,63,.42720139,0,2,3.7941637,69.077866,238.49028,610.13763,2958.1226,314.9758,3.6737139,.18067446,.06022482,.18067446,1660445,272.8786560229336,2.8,52860,.59429854,4.4026151,1.382822,12.415949,234.57567,8.962717825643125,0,1,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,1.333464,0,0,0,0,0,0,0,1
Tennessee,2000,43,0,1,0,0,0,410,.54992074,7,5,7.3989363,170.80716,508.39716,1016.7943,2781.1157,496.81152,7.5793982,.97449404,.1443695,.10827712,5541337,389.6532551620665,4,43169,3.5567951,13.015974,6.7086158,29.884737,400.01178,12.80476173890886,0,0,1,0,2007,2007,0,-7,0,0,0,0,0,0,0,0,0,0,0,2.0013363,4,0,0,1,0,0,0,0
South Dakota,2000,42,0,0,0,0,0,7,.22137405,0,0,.96362191,18.033495,112.33078,398.66415,1728.7377,109.8529,.96362191,.13766026,.13766026,.13766026,726426,249.5780712694755,2.7,46181,10.441257,40.579632,18.194008,92.379814,360.11926,11.60228295793377,0,1,0,0,2006,2006,0,-6,0,0,0,0,0,0,0,0,0,0,0,-.037056267,5,0,1,0,0,0,0,0
Tennessee,2001,43,0,1,0,0,0,423,.55592525,15,9,7.564352,182.74258,535.37012,1067.6824,2950.9021,505.57767,7.4928217,.62589198,.28612205,.17882629,5541337,389.6532551620665,4,43169,3.5567951,13.015974,6.7086158,29.884737,423.29971,12.80476173890886,0,0,1,0,2007,2007,0,-6,1,0,0,0,0,0,0,0,0,0,0,2.0234468,4,0,0,1,0,0,0,0
North Carolina,2001,34,0,0,0,0,0,505,.51510823,19,5,6.3663354,167.71826,309.7821,1284.4744,2990.8035,310.715,6.2528758,.7942161,.25213209,.075639628,7795432,346.3310307882873,3.7,48514,.0091720382,.6284706,.010493325,1.0400321,403.14661,11.98617344106138,0,0,1,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,1.851024,0,0,0,0,0,0,0,1
Arkansas,2001,4,0,0,0,0,0,148,.50939935,0,0,5.6528745,83.303513,342.57184,847.77838,2657.9968,279.5881,5.385509,1.4132186,.0381951,.0381951,2599492,283.709278582123,4.1999998,37600,1.4365499,5.4123268,2.0820606,11.242081,481.02905,15.19373785339597,0,0,1,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,1.7321641,0,0,0,0,0,0,0,1
Colorado,2001,6,0,0,0,0,0,158,.34092826,1,7,3.6618795,82.392296,228.26489,661.29376,2812.6943,486.56647,3.3374093,.30129391,.046352908,.18541163,4198306,322.3919361761625,2.7,61077,.31917635,5.1907125,.74272811,12.638526,404.38275,9.166316128457526,0,0,0,1,,,0,,1,0,0,0,0,0,0,0,0,0,0,1.2979765,0,0,0,0,0,0,0,1
Mississippi,2001,25,0,1,0,0,0,282,.43260473,3,0,10.207864,119.23654,191.23456,1079.4635,2545.2693,342.9046,6.7690444,1.1221411,.14479239,.036198098,2749244,277.0943575761191,5.5999999,43426,1.8166813,11.687977,3.1869125,24.540274,776.81122,17.81489747727012,0,0,1,0,2006,2006,0,-5,1,0,0,0,0,0,0,0,0,0,0,2.3231585,5,0,1,0,0,0,0,0
Montana,2001,27,0,1,0,0,0,34,.10869565,0,2,3.865222,26.147089,310.923,417.21661,2806.1511,207.01674,2.6147089,.454732,.113683,.34104899,877433,277.5140666010966,4.8000002,41499,.70683461,12.456564,1.155074,23.960119,378.33704,13.41150834308716,0,0,0,1,2009,2009,0,-8,1,0,0,0,0,0,0,0,0,0,0,1.3520191,2,0,0,0,0,1,0,0
Nebraska,2001,28,0,0,0,0,0,43,.41046098,0,0,2.5866561,67.854607,217.2791,587.11078,3170.9395,390.4046,2.5265012,.24061917,.060154792,.060154792,1660445,272.8786560229336,2.8,52860,.59429854,4.4026151,1.382822,12.415949,236.82941,8.962717825643125,0,1,0,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,.95036596,0,0,0,0,0,0,0,1
Delaware,2001,8,0,0,0,0,0,23,.40051904,0,0,2.9808962,149.82245,423.67609,666.68396,2524.1711,360.17004,3.7585216,.64802092,.12960419,.12960419,759017,391.8225810489093,3.3,63768,1.5692666,4.686193,2.9050732,10.923076,907.61816,8.876481027434169,0,0,1,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,1.092224,0,0,0,0,0,0,0,1
Nevada,2001,29,0,0,0,0,0,180,.40186536,3,9,8.6856194,237.98598,307.0849,854.6167,2174.9275,709.42212,8.7338734,1.302843,.19301377,.48253444,1964582,363.3851882995976,4.5,57935,.044131525,3.747973,.094829336,9.0881414,493.77747,9.914933558385448,0,0,0,1,,,0,,1,0,0,0,0,0,0,0,0,0,0,2.1616688,0,0,0,0,0,0,0,1
Oregon,2001,38,0,0,0,0,0,84,.23754093,5,6,2.4739666,80.963501,195.64954,784.83649,3623.5955,437.12634,2.4739666,.32397184,.1767119,.20616388,3343908,230.3891135760912,5.0999999,53809,2.7448123,19.385941,5.0559406,43.240574,336.04715,10.80412499386945,0,0,0,1,,,0,,1,0,0,0,0,0,0,0,0,0,0,.90582275,0,0,0,0,0,0,0,1
Vermont,2001,46,0,0,0,0,0,7,.25233644,0,0,1.1817917,18.064529,71.413979,531.80621,2097.8489,127.97115,1.1817917,.16882737,.16882737,.16882737,588067,211.2004244414327,2.7,50130,18.556728,55.125862,35.983994,131.03625,301.18805,9.052709980325371,1,0,0,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,.16703165,0,0,0,0,0,0,0,1
Hawaii,2001,12,0,0,0,0,0,32,.10420315,0,4,2.692209,96.078209,129.05777,939.07617,3779.6091,567.29889,2.692209,.25239459,.084131531,.42065766,1175755,307.7171689680248,4,65263,.055708885,7.6047306,.093216702,13.562349,456.91833,10.06646792911789,0,0,0,1,,,0,,1,0,0,0,0,0,0,0,0,0,0,.99036205,0,0,0,0,0,0,0,1
Louisiana,2001,19,0,0,0,0,0,501,.5721007,10,9,11.571946,181.64029,482.97284,1072.9111,3223.3992,500.91974,11.248578,1.5013503,.25407466,.23097697,4333011,478.9740898419137,4.9000001,38892,.019316822,1.7785554,.029632973,4.0265994,827.12854,17.38407772331988,0,0,1,0,2006,2006,0,-5,1,0,0,0,0,0,0,0,0,0,0,2.4485838,5,0,1,0,0,0,0,0
Georgia,2001,11,0,1,0,0,0,598,.45368698,6,16,7.3374162,176.71149,300.50278,880.96844,2926.1812,461.21426,6.9938583,2.1349673,.085889488,.20858875,7952631,369.7266979946637,3.5,53051,.035195898,.25879484,.074805431,.64100796,563.64362,12.65403864456933,0,0,1,0,2006,2006,0,-5,1,0,0,0,0,0,0,0,0,0,0,1.9929868,5,0,1,0,0,0,0,0
Indiana,2001,15,0,1,0,0,0,413,.4589318,1,6,6.9569025,120.79407,226.29305,720.25,2481.0874,362.14636,6.4010243,.84224004,.033689599,.1179136,5902331,264.0821058663094,2.9000001,51740,.10809289,3.3498631,.1670357,6.2777061,353.16809,8.968033138094086,0,1,0,0,2006,2006,0,-5,1,0,0,0,0,0,0,0,0,0,0,1.9397343,5,0,1,0,0,0,0,0
Utah,2001,45,0,0,0,0,0,67,.28153718,0,2,3.0054345,53.694103,141.47971,619.20923,3170.3296,292.15515,3.7680073,.67285848,.04485723,.13457169,2192689,309.8934687044082,3.3,60204,.019473806,1.8613219,.023988809,3.791281,239.49275,9.049801408225242,0,0,0,1,,,0,,1,0,0,0,0,0,0,0,0,0,0,1.1004221,0,0,0,0,0,0,0,1
Michigan,2001,23,0,0,0,0,0,672,.48898509,14,6,6.8992939,132.82167,375.26205,739.60022,2327.5671,550.37268,6.8684936,.6468088,.1540021,.071867645,9688555,292.9229384567668,3.7,57623,.16456531,3.1056025,.33120522,6.7884221,501.52322,9.820195065208383,0,1,0,0,2006,2006,0,-5,1,0,0,0,0,0,0,0,0,0,0,1.931419,5,0,1,0,0,0,0,0
Iowa,2001,16,0,0,0,0,0,50,.2764298,1,3,1.7737057,40.937126,213.27037,598.98041,2349.9473,195.28499,1.7382315,.28379291,.070948228,.14189646,2822155,263.7346283248085,2.8,51899,.50401199,5.745893,.85689837,11.112146,282.44489,8.422074620281309,0,1,0,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,.573071,0,0,0,0,0,0,0,1
